Block: 1738
Row Block TimeStamp DocumentTimestamp TraceOriginalId DocumentHash ContentHash PdfDocumentHash PdfContentHash Type DocumentCode DocumentVersion OwnerKey VersionKey OwnerSignature OwnerSignedData VersionSignature LedgerSignature LedgerSeal
81054 1738 2026-08-25T09:38:47.665Z 2026-08-25T09:38:46.969Z c3102b7a87603290caaf83a43371671ce510820d5858f0ca06643771e7512cb8 74cde6786c626973f55cbee93a463dba268f3dc5a78fed545a35cc348c85d5b7 9a6d8961ee4386e8ac8ddd5b1059e396029e1530caeb7dc0c053553200888dcb 415561f2f8a1f87ca4a82b62b60130dddc10c777fe20fcaab23bd28c3cf9ea4a 7699cea37895dd52c3967afb01f783cf5a201b4ae40402c431fa6c3ccecbd450 SIG NEG 2 02c4e1fd5d12458fb01fa3c99c097681a0cbe688ff4d0da376721d0ebc39b601ca 033e7c236b73f4b2c0b45ce725f3d8a98b67e129c3db6e282b4ad430c46bd1ab23 sqwe9tQ1ZYi61lRWOUdDviqKBExGhswY+c1+kKJoargmf6g8KY4fYnKfGJSAw1aD/0x3BHwLadcWRoBYYlorEQ== 415561f2f8a1f87ca4a82b62b60130dddc10c777fe20fcaab23bd28c3cf9ea4a H4d9WOD/SUL1xXIf/h3cZUtaWYcLl7JX3IF/EyHHukDa3OHknw7h/CkgvqQHqbwASOoG8m+NRbDdK28Q91WRfQ== xlzFsK/ePKcVaMx9PZgomoqIf8v+T6tTO+bI27zyLuFsfu5aMsXfmzBGQk5YbiiI2IbXJ98becSDRp3+/lTWCg== Q2d9ncnJK32ohRp9ZTT77d741aLj2Xm5cCVrRezPgaG/IbEzPNnyAtSLKNqnFji4E5rE0wSi11SVI2r3CnyC1A==
81055 1738 2026-08-25T09:38:51.637Z 2026-08-25T09:38:49.827Z 9cbf104c712b6e51ce4a1418ac4757a5ac33149b8b491cd5ffd1c4d11dec2041 9cbf104c712b6e51ce4a1418ac4757a5ac33149b8b491cd5ffd1c4d11dec2041 9cbf104c712b6e51ce4a1418ac4757a5ac33149b8b491cd5ffd1c4d11dec2041 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 02c1f69c7de3dae601fd90b12f1e4fb976ca9f93a692b4f08a3e75b6d617c4df09 03ca4fa98b5910b9bf789eac8acb76d8071400a9043333bb49e5e5cabea3be4a3f FWjNEMnrW5XiGRnNg1KEZxf5zYwYPDK8u9aCsUjhQkDZSYh+zRhTtp24TDQ1DDfvAgFNruyD1wuCZPabXRW7zw== 9cbf104c712b6e51ce4a1418ac4757a5ac33149b8b491cd5ffd1c4d11dec2041 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 kBWIMZMK2+V/VRQZF5r0qggwcgTUVGjiE8vf0gvn/X4h6bci5rsC7v7MdTnSKNFgLNd4gAztt0kugO83oZW4RQ== 6nlGH2W1U09fu7eZ/+oOsI55BNmK98GWMSH5y7MLXX7EjQ0f42NS7fsfJykACluPeQMuBbmpBVEdffoFhX/SAQ==
81056 1738 2026-08-25T09:38:51.722Z 2026-08-25T09:38:48.700Z 25e1577b7112f71620bbba6dca710cc828ebe3f0a992fc68687a8fe31085bc84 25e1577b7112f71620bbba6dca710cc828ebe3f0a992fc68687a8fe31085bc84 25e1577b7112f71620bbba6dca710cc828ebe3f0a992fc68687a8fe31085bc84 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 0260709292bad451ccd0b03369ed2c50c2d4630010fca0e73569f68da7f7c1905b 02c2a2664ecd922e856a8929a6ecee565973db991a5349e5a20196496532df48f0 Mz7XTctOf1X2SGbnT87rSkXW1zxFJtiam0Uj7vxbU8JuhLVfp11wayoWTkDEPOrhZNTDrL+SUee9oZ/ZP/Pl3Q== 25e1577b7112f71620bbba6dca710cc828ebe3f0a992fc68687a8fe31085bc84 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 v35RQbQ746BdDiRGypz5NpAqb/HY3g1tUdhjc29CnDyXmB0NRE/4DQBlqZvqM8+T54wtJ6Ru9naFflVwgpxBag== xOBF5Xjx4XfrnfxWepkWh8OQl4wadDrNQITXuo1HbNblwgbnQLZSStFlNHIWYpR4P/Yxg2jhMV3gTtR5brn5rg==
81057 1738 2026-08-25T09:38:51.804Z 2026-08-25T09:38:50.130Z 8f5a01a02005e365e65f1c936304b761663c2c189260af623787d8c1ec77d3a4 8f5a01a02005e365e65f1c936304b761663c2c189260af623787d8c1ec77d3a4 8f5a01a02005e365e65f1c936304b761663c2c189260af623787d8c1ec77d3a4 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 036123a3d91752f9f99d64ebc410359ab54b39d8e17abc8b9b09f46eeea05a6f0c 025413393cd189ebe425f3f3905c9f9505db35c130a389e366a74a66b901475f14 iMQIcmYRQJAbbjYjaakOJxCfWlfXFIKAWyS4sZIeR+wLplpxQmUjxoTvFL8FUkcruLd5VkQi4hCOHF0BKriqqw== 8f5a01a02005e365e65f1c936304b761663c2c189260af623787d8c1ec77d3a4 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 jyoYnkys+PFYWfqqn9kavwnhl1uuNTL2DNw10IF8p+xsJXEh6POFU7UQMBdZY8y+VPiaCbhui2TjKotMNitDtA== nf6/rpltLvpUecNM4/YIjRwKDAjXAaNAGpVyCY3Mp6mVAfEfW8KqsayqJPAMepXThO/6bR/FTng3C0UTVN2fmg==
81058 1738 2026-08-25T09:38:51.832Z 2026-08-25T09:38:48.455Z 0d08e7acf11d87502e359eb55254bea45db417f877545ed75a3ee07b85fa0595 0d08e7acf11d87502e359eb55254bea45db417f877545ed75a3ee07b85fa0595 0d08e7acf11d87502e359eb55254bea45db417f877545ed75a3ee07b85fa0595 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 02f70facf2ef95ee2f6679834a3b93602406e8221197a04f74539b5e4be94ad08c 0314051de0a99fe2562a8a90deac4989df43b6a1e98266bb75d87f3a1a1aae8971 DSIDMKDEfee+Ete/cq6V3IYLYWm5IFkqcdeXGIdt21T/WB0VIPIT/lj0bEAffo4srtJQCFn16NJQqcK1ApIGeg== 0d08e7acf11d87502e359eb55254bea45db417f877545ed75a3ee07b85fa0595 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 q1RH0cw0gid/mvwlenACYHJqFoeu4bESUmvZtqp3sxQxcFRI61xcytzzhyLy9kOiXP3qfT5+60Q4ofCWg9mP8g== PlMB+l06zqUlsRmHVbWsmKKrI1lccHRul1q+sisvkKd7/BByIsUxlWg5n8ug2KK41xriRYer502TLORT7N4KSA==
81059 1738 2026-08-25T09:38:51.868Z 2026-08-25T09:38:51.315Z a69bdcbb3b6ac4ca1e422d712aefe7d0885667db872e277219161f010188539f a69bdcbb3b6ac4ca1e422d712aefe7d0885667db872e277219161f010188539f a69bdcbb3b6ac4ca1e422d712aefe7d0885667db872e277219161f010188539f 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 02f8f36ab6ba74e68957b8239f055336ffa4d5ad6fd1c5db961621a37712da223a 02f1a8b7fd20e4ef177a7b8a8782c7926f693d43b9bd566fd9a9b96e967d462a14 4MaNHE8FVszAfy8YRsoNU1J0iKpiN71uJh7F1+5tLk8ytB7pmr+tbsXPAHFe2p+25iTsgne6FvrzZWqhXaVw+A== a69bdcbb3b6ac4ca1e422d712aefe7d0885667db872e277219161f010188539f 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 RKLuf5d05pEqQWxVuWbeqhWEsX4+dRTSwcmyDym4yqhdlAAE0rtg6JV+p+WR1C+9/C9CPueb5Zntii0tJ9jc7A== h2EdI+ieXbQEMrVqh7VbXOVHD1Ax5VIXabPfkc8kvVLTYLEGOrat5uFxJ+CVIfvaGpbcB8SgYPc62MOOSiFSAg==
81060 1738 2026-08-25T09:38:52.414Z 2026-08-25T09:38:52.157Z 029ebb9e751a39f5a2eb617475402b930c617cbd544f6ec5e184a917ce66d199 029ebb9e751a39f5a2eb617475402b930c617cbd544f6ec5e184a917ce66d199 029ebb9e751a39f5a2eb617475402b930c617cbd544f6ec5e184a917ce66d199 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 021b67a3b0b92a0abc3914b55fc1bfa7d806a6786b9627cae4fd8f226b6bb3e03f 032bebde1f8a8c9fc346f814e382cec718118b8938761f8ef42d0e1de0509fe554 xR+f0l0yidaf4Z1Mrke7PVgz9n/7xRccUXaU5YTirurcNJKrBvBZFsRLCCDOaqnu2iKFkjyRLqAiuZsaXThbcg== 029ebb9e751a39f5a2eb617475402b930c617cbd544f6ec5e184a917ce66d199 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 gGXHnF14x42qrGIy4WeeStRxjIxHxTp3KTkyd2RfFA2vjm5soyY0amizmGqVFUXxOG3NWWtnPI7yOW5epMpSjQ== wcPUnnkHEsxZOS4s+3Q0y31SjtyjpOB3Gucn+rK/We+vs2idVf2uy/4HdAWbIkzWQNf6SIqaCHC9JyINoXOvBQ==
81061 1738 2026-08-25T09:38:56.940Z 2026-08-25T09:38:56.677Z 257914e9c6b35764250b778e5fc9cc91e7d74c19f72691469b340acb1ca1166a 257914e9c6b35764250b778e5fc9cc91e7d74c19f72691469b340acb1ca1166a 257914e9c6b35764250b778e5fc9cc91e7d74c19f72691469b340acb1ca1166a 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 02409f806065fb2b25c1e75b3172008f42ab6c01a1d4cf837a58872d663f7f6d0c 026e3e9d295e239d435ad3307f1ca2baf8048c511b062bb5c8935080c4cbccc6e2 WQq7bTESYgHMPic7Yr9qEeWOqgvxPnrGYUQj8FNy69AYrC042DX5Bvbfn4WvLLs1gWFkbMZNVIBYxtelPOHuRg== 257914e9c6b35764250b778e5fc9cc91e7d74c19f72691469b340acb1ca1166a 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 GNOReSvE4ejOWOxjGcU0DqCOWG3312WBgaQ6oIkdz+BaBU32VhcLS3Bw3FupCV9J5NtN9OGWzIDOyGvBqbiZgw== aFdZTHnvW6IWNgeT/l6Q1Ng3TdVoCNHYyIwlj+K2xY7x71Reur3Q4jTMMVjxoEjCe8JqA6SorSqHJVxTwYcaOw==
81062 1738 2026-08-25T09:38:58.971Z 2026-08-25T09:38:58.655Z 4abba89b4e028e9a4918baa8483fd428c7e28370373ed24b0b616133acc3a555 4abba89b4e028e9a4918baa8483fd428c7e28370373ed24b0b616133acc3a555 4abba89b4e028e9a4918baa8483fd428c7e28370373ed24b0b616133acc3a555 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 034e305fa13630f9b83fd39286a4d9aa35d06eeb3a84502ab38e52f7fe2ffada63 0392dfd63acc8689613ff4acbd4d7e7f7b686c0597e088ccd7210882aaedc707f9 ZAhrZv0t0a0OPg68DoruF2E5np7Wz9dEJ7ERTeHw2vQVok83evjoDQBn5pmdEvX0EaN5L2HGQbED/pP8F7G8mg== 4abba89b4e028e9a4918baa8483fd428c7e28370373ed24b0b616133acc3a555 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 vOYEKagTUPjtCCgYGIUMXGkwUdZwCyVt+73CwKggGNK7mXQKQHvkNdwQa/9J7kDA+uiHBq0TFosfwErL3rvn1A== PjsihX1A+4j+hfWrxWid+tYlbkn7OPILa7heszvN76G7DmYuF/ogEMKhyinCS8C57TbEdvpdSahwFFC6Y/psIA==
81063 1738 2026-08-25T09:38:59.354Z 2026-08-25T09:38:59.080Z 05b655f125f32d1771b5a683017f9129cb51e8732816923e929c8c8e693e4a91 05b655f125f32d1771b5a683017f9129cb51e8732816923e929c8c8e693e4a91 05b655f125f32d1771b5a683017f9129cb51e8732816923e929c8c8e693e4a91 0000000000000000000000000000000000000000000000000000000000000000 0000000000000000000000000000000000000000000000000000000000000000 HBT LDG 1737 02d01336920a45fcb47b9f18ee233c398e23706cdc452381c66e11496c3f996636 0251e22a7e646b9d2fcf48cd51ab02f038828d33b95cc23bbfef657fcda637d055 aEUoo9i+kOBE8PSeHffPHszWgo4sLrEA09X13rRgbxXbGgaaA4Ui7Q4S5lr1xOlGMPb7e9/ePLuxLJsDqU1xlw== 05b655f125f32d1771b5a683017f9129cb51e8732816923e929c8c8e693e4a91 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 luMoo8iqc1d6dCKkvO39uuy5/3pgb/wDm8WKshwif4W5QWjjODG2S0kXoNwc2Adjm96GY7riG9UZIW83hZdxpA== 4a3LQsSypGcpyKCv0baHqMc/vdhI+6D0R3e1Sn2fSzsYhN42n8zVjfEZrUZPP3ys6zxEz4yN8a52sXb1V8X55w==
